,model_name,epochs,batches_count,k,structural_wt,lr,start_loss,end_loss,mrr,mr,hits_10,hits_5,hits_3,hits_1,losses_list
0,transE,50,5,40,0.1,0.1,2.724811039677373,0.5956933819806134,0.060491270043439814,148.4347246891652,0.13854351687388988,0.08348134991119005,0.051953818827708706,0.019982238010657193,"[2.724811039677373, 1.0643408316153067, 0.9178634982638889, 0.8449821302625868, 0.7470034450954861, 0.7033296599211516, 0.6922205494068288, 0.6547016511140046, 0.6542319855866608, 0.6504942039207176, 0.6320035016095197, 0.6108093713831019, 0.5953890200014468, 0.5450507269965278, 0.5454307725694445, 0.5410468207465278, 0.5251682083695023, 0.4712275187174479, 0.5072281335901331, 0.4942791521990741, 0.4786676647044994, 0.4687187420880353, 0.4971437242296007, 0.45503229211877894, 0.4820951165093316, 0.4549137595847801, 0.46348037719726565, 0.4500340270996094, 0.4504830876103154, 0.47020407217520255, 0.490866936577691, 0.468471758807147, 0.4603310422544126, 0.5115843652795862, 0.5072354691116898, 0.4546169987431279, 0.5053199937608507, 0.5180726849591291, 0.49253887600368923, 0.5224527768735533, 0.5004714852792246, 0.5409125207971643, 0.5277310971860533, 0.5303787909613715, 0.5206116965964989, 0.5899042991355613, 0.5679711688006366, 0.5497018319589121, 0.5771382536711516, 0.5956933819806134]"
1,transE,100,5,40,0.1,0.1,2.724811039677373,1.3623682996961806,0.09837150990605215,97.52930728241563,0.22202486678507993,0.14564831261101244,0.09902309058614565,0.03685612788632327,"[2.724811039677373, 1.0643408316153067, 0.9178634982638889, 0.8449821302625868, 0.7470034450954861, 0.7033296599211516, 0.6922205494068288, 0.6547016511140046, 0.6542319855866608, 0.6504942039207176, 0.6320035016095197, 0.6108093713831019, 0.5953890200014468, 0.5450507269965278, 0.5454307725694445, 0.5410468207465278, 0.5251682083695023, 0.4712275187174479, 0.5072281335901331, 0.4942791521990741, 0.4786676647044994, 0.4687187420880353, 0.4971437242296007, 0.45503229211877894, 0.4820951165093316, 0.4549137595847801, 0.46348037719726565, 0.4500340270996094, 0.4504830876103154, 0.47020407217520255, 0.490866936577691, 0.468471758807147, 0.4603310422544126, 0.5115843652795862, 0.5072354691116898, 0.4546169987431279, 0.5053199937608507, 0.5180726849591291, 0.49253887600368923, 0.5224527768735533, 0.5004714852792246, 0.5409125207971643, 0.5277310971860533, 0.5303787909613715, 0.5206116965964989, 0.5899042991355613, 0.5679711688006366, 0.5497018319589121, 0.5771382536711516, 0.5956933819806134, 0.6169347805447049, 0.6044461398654514, 0.6143602046260127, 0.6131593831380209, 0.6464556771737557, 0.6715438955801505, 0.6390015891746238, 0.6867537660951968, 0.6812427435980902, 0.6867558232060185, 0.7039027574327257, 0.7357496134440105, 0.7203661883318866, 0.7650723153573495, 0.7633286539713542, 0.7767371170609085, 0.8060843234592013, 0.7986234650788484, 0.8181249095775462, 0.8024005918149595, 0.8277175677264178, 0.7919215788664641, 0.9203561966507523, 0.9328906363028067, 0.9371286123770255, 0.9638438924153646, 0.9663801631221065, 0.9707885064019097, 1.0224337881582755, 1.014017921730324, 1.078950150101273, 1.0331473795572916, 1.0670052309389468, 1.0677381953486689, 1.087761546947338, 1.1321021638093172, 1.1189547842520255, 1.118488453052662, 1.2503257694950811, 1.214591855649595, 1.2061324282045718, 1.2744509548611112, 1.272425062391493, 1.2138282606336805, 1.2455137351707175, 1.2709763590494791, 1.2978581633391204, 1.3100583902994791, 1.3488499620225693, 1.3623682996961806]"
2,transE,50,5,50,0.1,0.1,2.773050378870081,0.6344858918366609,0.06795089760795187,147.45959147424512,0.13987566607460036,0.08836589698046181,0.0608348134991119,0.02664298401420959,"[2.773050378870081, 1.113319566514757, 0.9440138188114873, 0.843283533166956, 0.738628087926794, 0.7208721810800058, 0.6742768012152778, 0.6613437341760706, 0.639554918077257, 0.6169854058159723, 0.6112108696831597, 0.6030003074363426, 0.5790072179723669, 0.49965930514865453, 0.526015941478588, 0.49209920247395833, 0.4671716534649884, 0.4553228590223524, 0.48408686885127317, 0.4724478827582465, 0.4581981800220631, 0.4355309323911314, 0.49485068992332176, 0.4333238446270978, 0.4408871742531105, 0.4606360428421586, 0.42388926188151044, 0.45387693617078995, 0.4444140511971933, 0.4670017835828993, 0.4577967721444589, 0.44916539510091147, 0.4656923195167824, 0.49478411074037904, 0.5174385240342882, 0.47099423443829574, 0.5315303548177084, 0.5243922367802373, 0.4789115623191551, 0.5227813946759259, 0.5017130194769965, 0.5414579490379051, 0.5370404956958912, 0.5291233882197627, 0.49957081547489873, 0.6212240487557871, 0.5609997106481481, 0.5779178421585648, 0.5920733755606192, 0.6344858918366609]"
3,transE,100,5,50,0.1,0.1,2.773050378870081,1.4871046730324073,0.09574263078838029,95.56882770870338,0.21403197158081705,0.141651865008881,0.09103019538188277,0.035523978685612786,"[2.773050378870081, 1.113319566514757, 0.9440138188114873, 0.843283533166956, 0.738628087926794, 0.7208721810800058, 0.6742768012152778, 0.6613437341760706, 0.639554918077257, 0.6169854058159723, 0.6112108696831597, 0.6030003074363426, 0.5790072179723669, 0.49965930514865453, 0.526015941478588, 0.49209920247395833, 0.4671716534649884, 0.4553228590223524, 0.48408686885127317, 0.4724478827582465, 0.4581981800220631, 0.4355309323911314, 0.49485068992332176, 0.4333238446270978, 0.4408871742531105, 0.4606360428421586, 0.42388926188151044, 0.45387693617078995, 0.4444140511971933, 0.4670017835828993, 0.4577967721444589, 0.44916539510091147, 0.4656923195167824, 0.49478411074037904, 0.5174385240342882, 0.47099423443829574, 0.5315303548177084, 0.5243922367802373, 0.4789115623191551, 0.5227813946759259, 0.5017130194769965, 0.5414579490379051, 0.5370404956958912, 0.5291233882197627, 0.49957081547489873, 0.6212240487557871, 0.5609997106481481, 0.5779178421585648, 0.5920733755606192, 0.6344858918366609, 0.6516899278428819, 0.6524774509006076, 0.6502304077148438, 0.6462126216182003, 0.7007461547851562, 0.7124775752314815, 0.6800058322482639, 0.7361624823676215, 0.7272033917462384, 0.7370772298177083, 0.737845379864728, 0.7831768007631655, 0.7804923502604166, 0.8119972172489872, 0.8047563001844618, 0.8336642569082755, 0.8542398297345197, 0.8713298317238136, 0.8971899301034433, 0.8661910671657986, 0.8927969699435764, 0.8684571216724537, 1.000367748119213, 1.0030705995912905, 1.0133442292390047, 1.0387105305989583, 1.0531540934244792, 1.0353153596100984, 1.1009629765263311, 1.096734144422743, 1.1805586525245948, 1.0997131121600117, 1.166505126953125, 1.1604202835648147, 1.204692902741609, 1.2060678665726272, 1.2203365749782986, 1.2173734989872684, 1.357966783311632, 1.3359260615596065, 1.3253103524667245, 1.4023558892144097, 1.4039770959924769, 1.358328857421875, 1.3712848578559027, 1.388847814489294, 1.420489614981192, 1.4623661295572916, 1.485188892505787, 1.4871046730324073]"
4,transE,50,5,40,0.1,0.01,4.383149866174769,0.8638068079065393,0.07388772153428186,155.98268206039077,0.1660746003552398,0.10213143872113677,0.0719360568383659,0.027531083481349913,"[4.383149866174769, 2.731310989945023, 1.679997445565683, 1.3248631456163193, 1.1221376998336228, 1.009723804615162, 0.9194083997938368, 0.9249576596860533, 0.8828222543221933, 0.8876341756184896, 0.848291094744647, 0.8653682567455151, 0.8603925012659144, 0.8179705697518808, 0.8252227105034722, 0.840194091796875, 0.8146320145218461, 0.7885994918258102, 0.8143132188585069, 0.8023966132269965, 0.7930093609845197, 0.8066187427662037, 0.8002713012695313, 0.7668513658311632, 0.7853384060329861, 0.7951763463903356, 0.7801576176396122, 0.7998326167353877, 0.7548213704427084, 0.765398503056279, 0.7976096598307292, 0.8073531539351851, 0.7988464129412616, 0.8303354673032407, 0.835502850567853, 0.7883273541485821, 0.8533526611328125, 0.8194907972547743, 0.7898137749565972, 0.8148053091543692, 0.8088269155996817, 0.8542316125940393, 0.804383465802228, 0.8442531218352142, 0.8108745885778357, 0.8510177386248553, 0.845868157280816, 0.8236269802517361, 0.8333857331452547, 0.8638068079065393]"
5,transE,100,5,40,0.1,0.01,4.383149866174769,1.1300967746310764,0.08870624890951295,113.34724689165186,0.19005328596802842,0.12966252220248667,0.08792184724689166,0.03285968028419183,"[4.383149866174769, 2.731310989945023, 1.679997445565683, 1.3248631456163193, 1.1221376998336228, 1.009723804615162, 0.9194083997938368, 0.9249576596860533, 0.8828222543221933, 0.8876341756184896, 0.848291094744647, 0.8653682567455151, 0.8603925012659144, 0.8179705697518808, 0.8252227105034722, 0.840194091796875, 0.8146320145218461, 0.7885994918258102, 0.8143132188585069, 0.8023966132269965, 0.7930093609845197, 0.8066187427662037, 0.8002713012695313, 0.7668513658311632, 0.7853384060329861, 0.7951763463903356, 0.7801576176396122, 0.7998326167353877, 0.7548213704427084, 0.765398503056279, 0.7976096598307292, 0.8073531539351851, 0.7988464129412616, 0.8303354673032407, 0.835502850567853, 0.7883273541485821, 0.8533526611328125, 0.8194907972547743, 0.7898137749565972, 0.8148053091543692, 0.8088269155996817, 0.8542316125940393, 0.804383465802228, 0.8442531218352142, 0.8108745885778357, 0.8510177386248553, 0.845868157280816, 0.8236269802517361, 0.8333857331452547, 0.8638068079065393, 0.8677102095992477, 0.8599234234845197, 0.8618322979962384, 0.8868417019314236, 0.8998359623661748, 0.8872742151331019, 0.858737205222801, 0.8961868625217014, 0.8811275227864583, 0.8854950855396412, 0.8905742503978588, 0.905536713776765, 0.92304931640625, 0.9435903026439525, 0.9324836787471065, 0.9515170062029803, 0.9229609397605614, 0.9177865261501736, 0.9375766556351273, 0.9215259806315104, 0.947917163990162, 0.9347166160300926, 0.9723954490379051, 0.967322918927228, 0.9624770892107928, 1.00256997567636, 1.0182455557364005, 1.0079614031756365, 1.030645751953125, 1.0312693843135128, 1.0399794288917823, 1.02805743182147, 1.0128880027488425, 1.0436301450376158, 1.0268944860387732, 1.0835130705656828, 1.057715318467882, 1.0568783908420138, 1.130304226345486, 1.0869956235532408, 1.0752607783564814, 1.1261956561053241, 1.1101892994068288, 1.1015728081597222, 1.0890099645543982, 1.110139680085359, 1.098256248191551, 1.1210130027488425, 1.1334848361545138, 1.1300967746310764]"
6,transE,50,5,50,0.1,0.01,4.235002848307292,0.834592443395544,0.07335183315868254,153.30905861456483,0.15319715808170514,0.0941385435168739,0.07149200710479574,0.02886323268206039,"[4.235002848307292, 2.2946509015118632, 1.4442140706380209, 1.1808870668764468, 0.9873577654803241, 0.9045665938765914, 0.8434704024703414, 0.869832017686632, 0.8388284301757812, 0.8447900277596933, 0.8119956461588541, 0.8173720183195892, 0.8145301762333622, 0.7749896466290509, 0.788656005859375, 0.8009334875036169, 0.7741385904947916, 0.7435707713939526, 0.7790051947699653, 0.7597720110857928, 0.7590257884837963, 0.7738118037471065, 0.7624571058485243, 0.7272452460394965, 0.7478701669198495, 0.7641866613317418, 0.7486418208369502, 0.7721012143735533, 0.7278738629376447, 0.7381372974537037, 0.768434662995515, 0.7845095260054977, 0.7769624837239584, 0.8045455593532986, 0.8108171703197338, 0.765395666051794, 0.8258323160807292, 0.7979208826135706, 0.7646475784866898, 0.791786679868345, 0.7747787023473669, 0.8222071216724537, 0.7825413230613426, 0.8148536286530671, 0.7785028528284144, 0.8270794677734375, 0.8184510746708623, 0.8008448848017939, 0.8025027013708044, 0.834592443395544]"
7,transE,100,5,50,0.1,0.01,4.235002848307292,1.092793285228588,0.09944484401097568,112.1398756660746,0.20959147424511546,0.13898756660746003,0.0994671403197158,0.04218472468916518,"[4.235002848307292, 2.2946509015118632, 1.4442140706380209, 1.1808870668764468, 0.9873577654803241, 0.9045665938765914, 0.8434704024703414, 0.869832017686632, 0.8388284301757812, 0.8447900277596933, 0.8119956461588541, 0.8173720183195892, 0.8145301762333622, 0.7749896466290509, 0.788656005859375, 0.8009334875036169, 0.7741385904947916, 0.7435707713939526, 0.7790051947699653, 0.7597720110857928, 0.7590257884837963, 0.7738118037471065, 0.7624571058485243, 0.7272452460394965, 0.7478701669198495, 0.7641866613317418, 0.7486418208369502, 0.7721012143735533, 0.7278738629376447, 0.7381372974537037, 0.768434662995515, 0.7845095260054977, 0.7769624837239584, 0.8045455593532986, 0.8108171703197338, 0.765395666051794, 0.8258323160807292, 0.7979208826135706, 0.7646475784866898, 0.791786679868345, 0.7747787023473669, 0.8222071216724537, 0.7825413230613426, 0.8148536286530671, 0.7785028528284144, 0.8270794677734375, 0.8184510746708623, 0.8008448848017939, 0.8025027013708044, 0.834592443395544, 0.8383821840639467, 0.8320465087890625, 0.827603522406684, 0.8507593903718171, 0.867109137641059, 0.860898912217882, 0.8270050161856192, 0.8559801567925347, 0.8504299700701679, 0.8568493991427951, 0.8580410766601563, 0.8652821067527489, 0.8854922033239294, 0.9063051463939525, 0.8983602114076967, 0.9151709323459202, 0.8937119886610243, 0.8744351422345197, 0.8978924221462674, 0.881667401349103, 0.9101085069444445, 0.8920342791521991, 0.9353275214301215, 0.92867837411386, 0.9282325009946469, 0.9652301929615162, 0.9826191428855613, 0.9684642876519097, 0.9908035617404514, 0.9888837235062211, 1.0101704011140047, 0.9900796847873264, 0.9808125361689815, 0.9988142677589699, 0.9898797833478009, 1.040293556495949, 1.0174137143735533, 1.022215372721354, 1.0945458080150463, 1.0508951596860532, 1.0389510543258103, 1.0837828685619213, 1.0772502079716435, 1.0652521882233796, 1.055134006076389, 1.0730220540364583, 1.06472900390625, 1.0849529125072337, 1.1060461651837383, 1.092793285228588]"
8,holE,50,5,40,0.1,0.1,1.0029588035300927,0.15837110053168402,0.1329540806940762,76.07415630550622,0.2677619893428064,0.18650088809946713,0.13898756660746003,0.06172291296625222,"[1.0029588035300927, 1.0002386610243055, 0.9633221390335648, 0.6991010832609954, 0.4371743435329861, 0.39819403754340277, 0.36309593370225696, 0.3371739773220486, 0.30681867133246526, 0.27922445113570604, 0.2646292408130787, 0.24988016764322918, 0.2336798773871528, 0.22506325954861112, 0.21773074001736112, 0.21089288104021991, 0.20686436631944444, 0.20260261140046296, 0.19657926658347802, 0.19467366084346066, 0.19097488290292244, 0.1903989732530382, 0.18693226001880786, 0.18590660264756945, 0.18236115632233796, 0.17873311586733218, 0.1803174890588831, 0.17925870542173034, 0.1718270308883102, 0.1738900847258391, 0.1736625705295139, 0.17125426115813078, 0.17358886492693865, 0.16962045853226274, 0.16803947392216434, 0.16648626256872107, 0.16537715657552082, 0.16685311550564236, 0.16256066216362847, 0.16555533628110533, 0.16395587836371528, 0.16548507351345487, 0.16472129991319445, 0.15962168601707175, 0.16154846869574652, 0.1617389503761574, 0.1592239718967014, 0.15479352484809028, 0.1558967013888889, 0.15837110053168402]"
9,holE,100,5,40,0.1,0.1,1.0029588035300927,0.12848829481336804,0.11844680418650279,69.79706927175843,0.24866785079928952,0.16740674955595028,0.12211367673179396,0.047513321492007106,"[1.0029588035300927, 1.0002386610243055, 0.9633221390335648, 0.6991010832609954, 0.4371743435329861, 0.39819403754340277, 0.36309593370225696, 0.3371739773220486, 0.30681867133246526, 0.27922445113570604, 0.2646292408130787, 0.24988016764322918, 0.2336798773871528, 0.22506325954861112, 0.21773074001736112, 0.21089288104021991, 0.20686436631944444, 0.20260261140046296, 0.19657926658347802, 0.19467366084346066, 0.19097488290292244, 0.1903989732530382, 0.18693226001880786, 0.18590660264756945, 0.18236115632233796, 0.17873311586733218, 0.1803174890588831, 0.17925870542173034, 0.1718270308883102, 0.1738900847258391, 0.1736625705295139, 0.17125426115813078, 0.17358886492693865, 0.16962045853226274, 0.16803947392216434, 0.16648626256872107, 0.16537715657552082, 0.16685311550564236, 0.16256066216362847, 0.16555533628110533, 0.16395587836371528, 0.16548507351345487, 0.16472129991319445, 0.15962168601707175, 0.16154846869574652, 0.1617389503761574, 0.1592239718967014, 0.15479352484809028, 0.1558967013888889, 0.15837110053168402, 0.15687469708478008, 0.15714891221788194, 0.15531653962311923, 0.15486796061197916, 0.15341421395760996, 0.15436852349175348, 0.15355690963179977, 0.15391239872685186, 0.15191172960069443, 0.14944947193287036, 0.14892697708695024, 0.1503685822663484, 0.148997637713397, 0.14810032371238427, 0.14453246166087963, 0.14588064010054977, 0.1474425523546007, 0.14531948061342592, 0.1445977037217882, 0.14491474066840276, 0.14397481734664352, 0.14267216435185184, 0.1435340734411169, 0.14130273663556134, 0.14159187825520833, 0.1396714816623264, 0.14120000768590857, 0.1404817211009838, 0.14044862196180555, 0.1382328672055845, 0.13667186595775463, 0.13862082474320023, 0.13729282859519676, 0.1359084789134838, 0.13374744556568288, 0.1331667322229456, 0.13405512378833911, 0.13523372395833333, 0.13496570050274884, 0.13199527316623264, 0.1297835580331308, 0.13174702962239584, 0.1326769115306713, 0.13080076316550926, 0.12896891049985532, 0.12821922019675927, 0.12981328215422452, 0.12813387270326967, 0.12838970269097222, 0.12848829481336804]"
