entity1,ltt1,cv1,entity2,ltt2,cv2
Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,"[1, 11, 14]","['vi17', 'vi43', 'vi136', 'vi146', 'vi180', 'vi223', 'vi224', 'vi266', 'vi271', 'vi311', 'vi314', 'vi316', 'vi401', 'vi402', 'vi491', 'vi528', 'vi623', 'vi624', 'vi632', 'vi659', 'vi674', 'vi747', 'vi751', 'vi796', 'vi823', 'vi838', 'vi877', 'vi891', 'vi895', 'vi941', 'vi1001', 'vi1016', 'vi1024', 'vi1026', 'vi1027', 'vi1081', 'vi1084', 'vi1148', 'vi1160', 'vi1167', 'vi1176', 'vi1186', 'vi1192', 'vi1218', 'vi1231', 'vi1238', 'vi1286', 'vi1299', 'vi1301', 'vi1309', 'vi1312', 'vi1333', 'vi1360', 'vi1428', 'vi1446', 'vi1449', 'vi1524', 'vi1590', 'vi1620', 'vi1622']",Course2_W6-S1-L2_Grammar_Transforms_12-05,"[1, 11, 14]","['vi17', 'vi43', 'vi47', 'vi49', 'vi83', 'vi117', 'vi136', 'vi146', 'vi177', 'vi180', 'vi223', 'vi224', 'vi240', 'vi259', 'vi266', 'vi271', 'vi528', 'vi572', 'vi623', 'vi632', 'vi659', 'vi667', 'vi706', 'vi747', 'vi751', 'vi757', 'vi758', 'vi823', 'vi863', 'vi877', 'vi957', 'vi1001', 'vi1017', 'vi1024', 'vi1027', 'vi1065', 'vi1067', 'vi1070', 'vi1081', 'vi1084', 'vi1100', 'vi1148', 'vi1160', 'vi1167', 'vi1192', 'vi1218', 'vi1231', 'vi1238', 'vi1243', 'vi1286', 'vi1299', 'vi1300', 'vi1312', 'vi1333', 'vi1360', 'vi1416', 'vi1428', 'vi1429', 'vi1439', 'vi1446', 'vi1449', 'vi1490', 'vi1495', 'vi1507', 'vi1559', 'vi1562', 'vi1574', 'vi1590']"
Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,"[1, 4, 11, 12]","['vi17', 'vi47', 'vi49', 'vi55', 'vi70', 'vi83', 'vi99', 'vi146', 'vi180', 'vi223', 'vi224', 'vi240', 'vi259', 'vi271', 'vi311', 'vi388', 'vi401', 'vi402', 'vi461', 'vi528', 'vi557', 'vi623', 'vi624', 'vi632', 'vi740', 'vi747', 'vi751', 'vi825', 'vi877', 'vi941', 'vi1001', 'vi1024', 'vi1027', 'vi1065', 'vi1068', 'vi1070', 'vi1081', 'vi1145', 'vi1148', 'vi1160', 'vi1167', 'vi1176', 'vi1218', 'vi1226', 'vi1231', 'vi1236', 'vi1238', 'vi1286', 'vi1299', 'vi1301', 'vi1309', 'vi1312', 'vi1333', 'vi1428', 'vi1558', 'vi1597']",Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,"[1, 4, 11, 14]","['vi14', 'vi17', 'vi43', 'vi47', 'vi49', 'vi55', 'vi75', 'vi99', 'vi100', 'vi117', 'vi124', 'vi129', 'vi136', 'vi146', 'vi150', 'vi161', 'vi165', 'vi180', 'vi223', 'vi224', 'vi244', 'vi259', 'vi264', 'vi266', 'vi271', 'vi275', 'vi293', 'vi304', 'vi366', 'vi378', 'vi397', 'vi398', 'vi401', 'vi469', 'vi491', 'vi515', 'vi528', 'vi572', 'vi573', 'vi623', 'vi625', 'vi632', 'vi659', 'vi747', 'vi751', 'vi757', 'vi758', 'vi759', 'vi838', 'vi876', 'vi877', 'vi899', 'vi912', 'vi941', 'vi957', 'vi1001', 'vi1027', 'vi1067', 'vi1070', 'vi1074', 'vi1081', 'vi1084', 'vi1145', 'vi1148', 'vi1160', 'vi1167', 'vi1177', 'vi1192', 'vi1214', 'vi1215', 'vi1218', 'vi1222', 'vi1231', 'vi1238', 'vi1243', 'vi1277', 'vi1299', 'vi1309', 'vi1312', 'vi1333', 'vi1339', 'vi1359', 'vi1360', 'vi1408', 'vi1416', 'vi1429', 'vi1446', 'vi1449', 'vi1507', 'vi1559', 'vi1611', 'vi1626', 'vi1653']"
Course2_W5-S2-L2_Some_Methods_and_Results_on_Sequence_Models_for_POS_Tagging_13-04,"[8, 11, 14]","['vi14', 'vi17', 'vi27', 'vi31', 'vi43', 'vi55', 'vi83', 'vi117', 'vi136', 'vi146', 'vi152', 'vi180', 'vi233', 'vi244', 'vi275', 'vi293', 'vi318', 'vi342', 'vi388', 'vi401', 'vi402', 'vi438', 'vi491', 'vi501', 'vi528', 'vi557', 'vi604', 'vi605', 'vi624', 'vi667', 'vi673', 'vi678', 'vi747', 'vi751', 'vi796', 'vi838', 'vi877', 'vi888', 'vi894', 'vi901', 'vi941', 'vi957', 'vi984', 'vi986', 'vi1001', 'vi1044', 'vi1074', 'vi1077', 'vi1078', 'vi1081', 'vi1084', 'vi1095', 'vi1100', 'vi1145', 'vi1148', 'vi1160', 'vi1167', 'vi1192', 'vi1197', 'vi1214', 'vi1218', 'vi1231', 'vi1238', 'vi1299', 'vi1309', 'vi1312', 'vi1333', 'vi1372', 'vi1416', 'vi1429', 'vi1439', 'vi1490', 'vi1495', 'vi1507', 'vi1527', 'vi1531', 'vi1559', 'vi1597', 'vi1598', 'vi1599', 'vi1664']",Course3_W11-S1-L5_-_First_Order_Logic_-_16_slides_07-37,"[8, 11, 14]","['vi17', 'vi43', 'vi83', 'vi89', 'vi113', 'vi124', 'vi136', 'vi146', 'vi167', 'vi187', 'vi305', 'vi388', 'vi440', 'vi469', 'vi491', 'vi557', 'vi573', 'vi585', 'vi747', 'vi751', 'vi792', 'vi1025', 'vi1063', 'vi1148', 'vi1160', 'vi1171', 'vi1213', 'vi1215', 'vi1218', 'vi1231', 'vi1299', 'vi1312', 'vi1333', 'vi1359', 'vi1429']"
Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,"[7, 9]","['vi17', 'vi27', 'vi29', 'vi43', 'vi47', 'vi54', 'vi55', 'vi72', 'vi74', 'vi107', 'vi118', 'vi124', 'vi133', 'vi136', 'vi146', 'vi168', 'vi180', 'vi200', 'vi264', 'vi343', 'vi344', 'vi355', 'vi360', 'vi427', 'vi445', 'vi448', 'vi469', 'vi475', 'vi482', 'vi528', 'vi580', 'vi697', 'vi702', 'vi724', 'vi747', 'vi751', 'vi797', 'vi798', 'vi799', 'vi838', 'vi877', 'vi941', 'vi957', 'vi982', 'vi1001', 'vi1077', 'vi1084', 'vi1090', 'vi1144', 'vi1145', 'vi1148', 'vi1160', 'vi1165', 'vi1167', 'vi1192', 'vi1217', 'vi1218', 'vi1231', 'vi1236', 'vi1238', 'vi1299', 'vi1309', 'vi1333', 'vi1374', 'vi1387', 'vi1395', 'vi1402', 'vi1483', 'vi1520', 'vi1522', 'vi1536', 'vi1541', 'vi1590', 'vi1597', 'vi1611', 'vi1622', 'vi1653']",Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39,"[7, 9]","['vi17', 'vi41', 'vi43', 'vi47', 'vi55', 'vi79', 'vi83', 'vi99', 'vi107', 'vi136', 'vi139', 'vi146', 'vi221', 'vi250', 'vi251', 'vi252', 'vi356', 'vi388', 'vi401', 'vi419', 'vi444', 'vi491', 'vi531', 'vi532', 'vi557', 'vi610', 'vi724', 'vi747', 'vi751', 'vi757', 'vi758', 'vi883', 'vi912', 'vi957', 'vi1145', 'vi1148', 'vi1160', 'vi1192', 'vi1217', 'vi1218', 'vi1231', 'vi1299', 'vi1312', 'vi1326', 'vi1333', 'vi1352', 'vi1387', 'vi1439', 'vi1490', 'vi1611', 'vi1660']"
Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,"[1, 6, 11]","['vi17', 'vi43', 'vi47', 'vi49', 'vi83', 'vi99', 'vi136', 'vi146', 'vi223', 'vi240', 'vi259', 'vi271', 'vi316', 'vi360', 'vi388', 'vi461', 'vi557', 'vi623', 'vi632', 'vi673', 'vi747', 'vi751', 'vi757', 'vi758', 'vi863', 'vi941', 'vi957', 'vi1017', 'vi1027', 'vi1065', 'vi1067', 'vi1070', 'vi1148', 'vi1160', 'vi1176', 'vi1218', 'vi1231', 'vi1299', 'vi1300', 'vi1309', 'vi1333', 'vi1408', 'vi1428', 'vi1429', 'vi1449', 'vi1524', 'vi1553', 'vi1558', 'vi1574', 'vi1597']",Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,"[1, 6, 11]","['vi17', 'vi27', 'vi43', 'vi47', 'vi49', 'vi55', 'vi60', 'vi74', 'vi99', 'vi117', 'vi129', 'vi136', 'vi146', 'vi180', 'vi253', 'vi254', 'vi258', 'vi259', 'vi271', 'vi305', 'vi314', 'vi316', 'vi388', 'vi401', 'vi402', 'vi425', 'vi426', 'vi461', 'vi528', 'vi557', 'vi573', 'vi623', 'vi624', 'vi632', 'vi684', 'vi706', 'vi740', 'vi747', 'vi751', 'vi757', 'vi758', 'vi823', 'vi863', 'vi877', 'vi912', 'vi1001', 'vi1017', 'vi1024', 'vi1025', 'vi1027', 'vi1063', 'vi1065', 'vi1067', 'vi1070', 'vi1074', 'vi1077', 'vi1081', 'vi1084', 'vi1100', 'vi1145', 'vi1148', 'vi1160', 'vi1167', 'vi1176', 'vi1179', 'vi1186', 'vi1192', 'vi1197', 'vi1214', 'vi1215', 'vi1218', 'vi1231', 'vi1238', 'vi1262', 'vi1299', 'vi1300', 'vi1312', 'vi1333', 'vi1336', 'vi1353', 'vi1359', 'vi1379', 'vi1416', 'vi1485', 'vi1490', 'vi1507', 'vi1524', 'vi1559', 'vi1574', 'vi1620']"
course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,"[2, 11, 14]","['vi14', 'vi17', 'vi47', 'vi55', 'vi133', 'vi136', 'vi146', 'vi152', 'vi180', 'vi223', 'vi244', 'vi266', 'vi271', 'vi305', 'vi366', 'vi378', 'vi388', 'vi401', 'vi528', 'vi557', 'vi573', 'vi623', 'vi632', 'vi673', 'vi684', 'vi747', 'vi751', 'vi876', 'vi877', 'vi899', 'vi941', 'vi957', 'vi982', 'vi1001', 'vi1024', 'vi1026', 'vi1027', 'vi1067', 'vi1074', 'vi1081', 'vi1084', 'vi1119', 'vi1145', 'vi1148', 'vi1160', 'vi1167', 'vi1176', 'vi1192', 'vi1197', 'vi1214', 'vi1218', 'vi1231', 'vi1238', 'vi1243', 'vi1286', 'vi1299', 'vi1309', 'vi1312', 'vi1333', 'vi1360', 'vi1395', 'vi1416', 'vi1429', 'vi1439', 'vi1446', 'vi1490', 'vi1495', 'vi1507', 'vi1559', 'vi1590', 'vi1620']",Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,"[2, 12, 14]","['vi14', 'vi17', 'vi47', 'vi55', 'vi75', 'vi83', 'vi136', 'vi146', 'vi152', 'vi250', 'vi251', 'vi344', 'vi366', 'vi438', 'vi526', 'vi527', 'vi667', 'vi673', 'vi747', 'vi751', 'vi888', 'vi894', 'vi936', 'vi941', 'vi957', 'vi993', 'vi995', 'vi1145', 'vi1160', 'vi1165', 'vi1192', 'vi1218', 'vi1231', 'vi1236', 'vi1299', 'vi1309', 'vi1490', 'vi1597']"
Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,"[2, 9, 12]","['vi17', 'vi43', 'vi55', 'vi83', 'vi99', 'vi107', 'vi124', 'vi136', 'vi146', 'vi180', 'vi264', 'vi355', 'vi360', 'vi401', 'vi419', 'vi445', 'vi448', 'vi455', 'vi469', 'vi479', 'vi528', 'vi573', 'vi724', 'vi747', 'vi751', 'vi877', 'vi941', 'vi957', 'vi1001', 'vi1063', 'vi1145', 'vi1148', 'vi1160', 'vi1167', 'vi1192', 'vi1217', 'vi1218', 'vi1231', 'vi1238', 'vi1299', 'vi1309', 'vi1326', 'vi1333', 'vi1387', 'vi1499', 'vi1611', 'vi1614']",Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,"[2, 9, 14]","['vi17', 'vi43', 'vi47', 'vi55', 'vi99', 'vi117', 'vi146', 'vi180', 'vi528', 'vi724', 'vi747', 'vi751', 'vi838', 'vi877', 'vi941', 'vi957', 'vi1001', 'vi1145', 'vi1148', 'vi1160', 'vi1167', 'vi1192', 'vi1217', 'vi1218', 'vi1226', 'vi1231', 'vi1238', 'vi1299', 'vi1309', 'vi1312', 'vi1326', 'vi1439']"
Course1_W9-S2-L3_Motivation_for_GLMs_6-34,"[6, 8, 12, 14]","['vi17', 'vi43', 'vi47', 'vi55', 'vi73', 'vi83', 'vi117', 'vi146', 'vi180', 'vi224', 'vi271', 'vi305', 'vi311', 'vi342', 'vi366', 'vi388', 'vi491', 'vi528', 'vi544', 'vi557', 'vi572', 'vi573', 'vi623', 'vi632', 'vi747', 'vi751', 'vi757', 'vi758', 'vi823', 'vi877', 'vi896', 'vi912', 'vi941', 'vi957', 'vi980', 'vi1001', 'vi1024', 'vi1025', 'vi1026', 'vi1036', 'vi1065', 'vi1067', 'vi1081', 'vi1084', 'vi1113', 'vi1145', 'vi1148', 'vi1160', 'vi1167', 'vi1192', 'vi1218', 'vi1226', 'vi1231', 'vi1238', 'vi1243', 'vi1262', 'vi1299', 'vi1301', 'vi1309', 'vi1312', 'vi1347', 'vi1429', 'vi1449', 'vi1611', 'vi1622', 'vi1670']",Course3_W1-S1-L6_-_Background_-_11_slides_16-55,"[6, 8, 9, 12]","['vi17', 'vi43', 'vi47', 'vi60', 'vi74', 'vi79', 'vi83', 'vi89', 'vi113', 'vi117', 'vi136', 'vi146', 'vi180', 'vi252', 'vi253', 'vi266', 'vi269', 'vi271', 'vi288', 'vi301', 'vi305', 'vi311', 'vi342', 'vi366', 'vi388', 'vi401', 'vi425', 'vi438', 'vi461', 'vi491', 'vi493', 'vi501', 'vi528', 'vi557', 'vi573', 'vi580', 'vi585', 'vi623', 'vi624', 'vi632', 'vi667', 'vi684', 'vi747', 'vi751', 'vi757', 'vi758', 'vi796', 'vi814', 'vi876', 'vi877', 'vi878', 'vi888', 'vi894', 'vi901', 'vi912', 'vi941', 'vi957', 'vi1001', 'vi1026', 'vi1027', 'vi1063', 'vi1074', 'vi1081', 'vi1084', 'vi1091', 'vi1122', 'vi1123', 'vi1138', 'vi1139', 'vi1143', 'vi1148', 'vi1160', 'vi1167', 'vi1171', 'vi1192', 'vi1214', 'vi1215', 'vi1217', 'vi1218', 'vi1220', 'vi1226', 'vi1231', 'vi1238', 'vi1299', 'vi1301', 'vi1309', 'vi1312', 'vi1333', 'vi1352', 'vi1353', 'vi1359', 'vi1360', 'vi1367', 'vi1369', 'vi1416', 'vi1418', 'vi1429', 'vi1439', 'vi1446', 'vi1449', 'vi1481', 'vi1483', 'vi1490', 'vi1507', 'vi1553', 'vi1559', 'vi1590', 'vi1602', 'vi1611', 'vi1614', 'vi1634', 'vi1660']"
Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,"[6, 7, 8, 12]","['vi17', 'vi43', 'vi55', 'vi83', 'vi117', 'vi118', 'vi136', 'vi146', 'vi173', 'vi187', 'vi343', 'vi360', 'vi388', 'vi491', 'vi557', 'vi580', 'vi624', 'vi667', 'vi740', 'vi747', 'vi751', 'vi796', 'vi825', 'vi888', 'vi894', 'vi941', 'vi957', 'vi993', 'vi995', 'vi1057', 'vi1074', 'vi1145', 'vi1148', 'vi1160', 'vi1192', 'vi1205', 'vi1214', 'vi1218', 'vi1231', 'vi1262', 'vi1299', 'vi1309', 'vi1333', 'vi1338', 'vi1416', 'vi1429', 'vi1490', 'vi1495', 'vi1507', 'vi1559', 'vi1575', 'vi1597', 'vi1599']",Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,"[6, 7, 8, 12]","['vi17', 'vi43', 'vi47', 'vi61', 'vi133', 'vi136', 'vi146', 'vi180', 'vi366', 'vi387', 'vi401', 'vi461', 'vi462', 'vi471', 'vi528', 'vi667', 'vi673', 'vi678', 'vi681', 'vi747', 'vi751', 'vi825', 'vi877', 'vi888', 'vi889', 'vi894', 'vi912', 'vi941', 'vi965', 'vi982', 'vi1001', 'vi1063', 'vi1074', 'vi1100', 'vi1148', 'vi1160', 'vi1167', 'vi1192', 'vi1214', 'vi1218', 'vi1231', 'vi1238', 'vi1299', 'vi1309', 'vi1312', 'vi1333', 'vi1395', 'vi1416', 'vi1429', 'vi1490', 'vi1507', 'vi1559', 'vi1599', 'vi1625', 'vi1627', 'vi1629']"
Course1_W1-S3-L4_Discounting_Methods_Part_2_3-34,"[7, 11]","['vi17', 'vi43', 'vi83', 'vi132', 'vi146', 'vi173', 'vi388', 'vi427', 'vi428', 'vi557', 'vi747', 'vi751', 'vi767', 'vi796', 'vi941', 'vi975', 'vi1018', 'vi1160', 'vi1192', 'vi1218', 'vi1231', 'vi1299', 'vi1309', 'vi1398', 'vi1400', 'vi1575']",Course2_W2-S1-L8_Kneser-Ney_Smoothing_8-59,"[7, 11]","['vi7', 'vi17', 'vi47', 'vi83', 'vi124', 'vi133', 'vi136', 'vi146', 'vi149', 'vi173', 'vi180', 'vi199', 'vi264', 'vi342', 'vi360', 'vi388', 'vi427', 'vi428', 'vi469', 'vi528', 'vi557', 'vi621', 'vi747', 'vi751', 'vi829', 'vi877', 'vi878', 'vi932', 'vi937', 'vi941', 'vi957', 'vi967', 'vi969', 'vi982', 'vi1001', 'vi1148', 'vi1160', 'vi1167', 'vi1192', 'vi1218', 'vi1231', 'vi1238', 'vi1299', 'vi1309', 'vi1312', 'vi1333', 'vi1395', 'vi1396', 'vi1398', 'vi1399', 'vi1416', 'vi1419', 'vi1507', 'vi1559', 'vi1575']"
Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,"[7, 11]","['vi17', 'vi49', 'vi83', 'vi132', 'vi136', 'vi146', 'vi173', 'vi180', 'vi259', 'vi360', 'vi388', 'vi427', 'vi428', 'vi528', 'vi557', 'vi747', 'vi751', 'vi767', 'vi825', 'vi828', 'vi877', 'vi941', 'vi975', 'vi1001', 'vi1018', 'vi1070', 'vi1148', 'vi1167', 'vi1192', 'vi1218', 'vi1231', 'vi1238', 'vi1299', 'vi1309', 'vi1312', 'vi1398', 'vi1399', 'vi1400', 'vi1403', 'vi1439', 'vi1575']",Course2_W4-S1-L3_Feature-Based_Linear_Classifiers_13-34,"[7, 11]","['vi17', 'vi43', 'vi47', 'vi83', 'vi94', 'vi117', 'vi136', 'vi139', 'vi146', 'vi180', 'vi366', 'vi401', 'vi444', 'vi455', 'vi491', 'vi528', 'vi747', 'vi751', 'vi825', 'vi827', 'vi854', 'vi876', 'vi877', 'vi899', 'vi941', 'vi957', 'vi1001', 'vi1004', 'vi1018', 'vi1063', 'vi1148', 'vi1160', 'vi1167', 'vi1192', 'vi1218', 'vi1231', 'vi1238', 'vi1252', 'vi1299', 'vi1309', 'vi1481', 'vi1611']"
Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,"[7, 11]","['vi17', 'vi43', 'vi55', 'vi83', 'vi113', 'vi136', 'vi146', 'vi173', 'vi180', 'vi342', 'vi360', 'vi388', 'vi401', 'vi528', 'vi557', 'vi624', 'vi667', 'vi747', 'vi751', 'vi796', 'vi825', 'vi828', 'vi877', 'vi941', 'vi985', 'vi1001', 'vi1116', 'vi1145', 'vi1148', 'vi1167', 'vi1192', 'vi1218', 'vi1231', 'vi1238', 'vi1262', 'vi1299', 'vi1309', 'vi1312', 'vi1333', 'vi1336', 'vi1399', 'vi1403', 'vi1481', 'vi1556', 'vi1575', 'vi1597']",Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,"[7, 11]","['vi17', 'vi43', 'vi55', 'vi83', 'vi136', 'vi146', 'vi180', 'vi293', 'vi388', 'vi453', 'vi491', 'vi501', 'vi528', 'vi557', 'vi747', 'vi751', 'vi825', 'vi877', 'vi899', 'vi901', 'vi912', 'vi941', 'vi1001', 'vi1074', 'vi1084', 'vi1145', 'vi1148', 'vi1167', 'vi1192', 'vi1214', 'vi1218', 'vi1231', 'vi1238', 'vi1243', 'vi1299', 'vi1309', 'vi1312', 'vi1367', 'vi1416', 'vi1499', 'vi1507', 'vi1559', 'vi1622']"
