,head,variable,value
0,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi957
0,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi1231
0,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi1027
0,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi1333
0,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi388
0,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi1084
0,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi43
0,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi17
0,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi124
0,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi1299
0,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi1176
0,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi557
1,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,vi1231
1,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,vi43
1,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,vi1333
1,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,vi17
1,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,vi632
1,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,vi1309
1,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,vi1067
2,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi877
2,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi55
2,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi461
2,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi1074
2,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi1309
2,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi47
2,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi1231
2,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi1027
2,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi1333
2,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi1238
2,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi17
2,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi1001
2,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi386
2,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi173
2,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi180
2,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi1067
3,Course1_W5-S1-L1_Opening_Comments_0-25,concept_vocab_index,vi43
3,Course1_W5-S1-L1_Opening_Comments_0-25,concept_vocab_index,vi1231
3,Course1_W5-S1-L1_Opening_Comments_0-25,concept_vocab_index,vi17
4,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,vi877
4,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,vi233
4,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,vi957
4,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,vi1309
4,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,vi1231
4,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,vi1238
4,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,vi838
4,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,vi17
4,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,vi1299
4,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,vi1001
4,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,vi136
4,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,vi180
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi877
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi55
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi1074
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi74
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi758
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi1081
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi1231
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi178
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi1333
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi1238
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi388
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi1084
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi43
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi17
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi1299
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi1001
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi60
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi136
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi180
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi253
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi557
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi99
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi993
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi1067
6,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi55
6,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi1309
